Country,BU,BU_CT_high,High,High_CT_high,Low,Low_CT_high
AGO,0.0239620880851318,0.035581385255593,0.0279617897664842,0.0358764419420655,0.0242353470545175,0.03455451340323
BDI,0.0291434561991939,0.0318608609650096,0.0352179279326598,0.0308392117061477,0.0309762237747829,0.0368011078805219
BEN,0.0610482155748243,0.0614811955032988,0.0543971315983483,0.0573494146561082,0.0511598028064067,0.0557544369875919
BFA,0.0800342797850136,0.1181831010359636,0.084674385959225,0.1203353014611009,0.0824630970195592,0.1225937135441989
BWA,0.0531009359737926,0.1500577557303911,0.0521142409160531,0.1321272746927819,0.0553421026601588,0.1282612216100332
CAF,0.0630756893356666,0.071469202374271,0.0594532563542202,0.0642797113516108,0.064771173583795,0.078580469372733
CIV,0.0526311193456567,0.0664893382472157,0.0533858110196791,0.0669509379336187,0.0517750042470426,0.0689668144274669
CMR,0.047117572384099,0.0497380435050624,0.0471423583025212,0.0495194761304381,0.0461090651433429,0.0558790127970231
COD,0.0212574946588943,0.0237102666319169,0.0284603825076219,0.0257239160026503,0.0219383093330035,0.0237671112052591
COG,0.0551029818558092,0.0817939435874716,0.0568099418222094,0.0771068943580523,0.0536378466991386,0.0931878981981277
DJI,0.0518172861003399,0.0989192528126368,0.0497472966585755,0.0852679251884907,0.0510092699218756,0.0954656908417688
DZA,0.0623049890536439,0.1279028187298062,0.0623049890533728,0.1279001882460375,0.0621271121809469,0.129416098168783
EGY,0.0614318364556324,0.1140288056278473,0.0614966652325671,0.1136614086120858,0.0615248366853541,0.1143243558798296
ERI,0.0529589660620511,0.1188612995491075,0.054507507447685,0.1260988437152288,0.061952730708951,0.151477979089193
ETH,0.0228961375404788,0.0235864190704607,0.0221083497503172,0.0218003267396077,0.0225772597862948,0.0232285484874062
GAB,0.0475695805703615,0.0699481855606624,0.0468903449788872,0.0665317275243467,0.0472452700224418,0.0682211946361468
GHA,0.0500650884098528,0.0727051313301156,0.0505867098096408,0.073603793604226,0.0480638030333569,0.0762609565394971
GIN,0.0315367855013926,0.0360033822062815,0.0314536179376727,0.037067332658092,0.0315553422574761,0.042478342119393
GMB,0.0521020836040441,0.0499938196987142,0.05687918069226,0.0472635776210957,0.0670229555884743,0.0509689485657943
GNB,0.0588475602152922,0.0879202438018502,0.0718843521682139,0.0865965492740504,0.0792277700677112,0.1409943869789937
GNQ,0.0391184235720925,0.0508573298042109,0.0390889566568758,0.0507238949205203,0.0422001972904885,0.0695969199986161
KEN,0.0333156175804123,0.0357534763435271,0.0330830014545129,0.0353363601642265,0.0334015783373528,0.0368126710432801
LBR,0.0502239079239654,0.055157494164597,0.0484746049673166,0.0529848849551776,0.0542932807666624,0.0497490689216318
LBY,0.0744331327386268,0.1536974274673492,0.0743808227854969,0.1537005515958674,0.0740443848998731,0.1532352122581259
LSO,0.0522358822596956,0.0686209659320513,0.0503280623288515,0.0742189498413922,0.052775030006669,0.0642604617492653
MAR,0.0648892972681531,0.1271002286520472,0.0650698542758626,0.1248477531590903,0.0680456197397048,0.1296513143374998
MLI,0.0672061318305812,0.0914076688569131,0.0670134795615261,0.0907162592241086,0.0676734290787003,0.0941824097219203
MOZ,0.0432189266235031,0.0473602315584978,0.0454297459913666,0.046216429664607,0.0417520650331047,0.047626395466111
MRT,0.0621122650202267,0.1109415086495478,0.0620312259621767,0.1080477434699842,0.0622912370759658,0.1142007923695602
MWI,0.0528607541809608,0.0373273492646484,0.056117450105093,0.0406083782866835,0.0511815677615553,0.0370517959904113
NAM,0.0511457948491139,0.0634290008024745,0.0507474515917789,0.0643838158894265,0.0502817875921399,0.0653307571580986
NER,0.0602273845790457,0.0716978539533097,0.0498362671454441,0.0752871504060432,0.0511665914412532,0.0746333790619513
NGA,0.0495767082942283,0.0808877939293705,0.0509184509906436,0.0710477242864465,0.0497322520633234,0.0739680722691187
RWA,0.0363603465872732,0.0316708019339442,0.0439418660674325,0.0506871050394229,0.0322170543114527,0.035029525150224
SDN,0.0494230935811789,0.0586790060889088,0.049928164031969,0.0587059961933629,0.0493058676797301,0.0588703297902333
SEN,0.0568330061002344,0.087968972056973,0.0565491127088704,0.0859029607982452,0.0576452166741981,0.094779969571065
SLE,0.0404624250336381,0.0532682130528096,0.0422402157007763,0.0495879161090309,0.0525850596045056,0.0558534612024513
SOM,0.0580923610641935,0.0572463453770731,0.0580923610641935,0.0572463672822472,0.0608780376056239,0.0734080219707859
SSD,0.0585364947852782,0.086571041970337,0.0573624951394312,0.084994074771507,0.0590469765722926,0.0872915745250416
SWZ,0.0489158980121548,0.0497706500326621,0.0485758348333478,0.0496440214057868,0.0496298483860175,0.0497092515407495
TCD,0.0249069295431496,0.0344959853386565,0.0248868021642643,0.0342533405251481,0.0303492393678786,0.0533257626506796
TGO,0.0525715086836331,0.0642510832810962,0.054150292768781,0.0614959399707466,0.0492056559497632,0.0569544093275758
TUN,0.0667022092762829,0.1219395722614853,0.0667022092762829,0.1219395722614853,0.0662754464722762,0.1241370716121226
TZA,0.0437234299213326,0.0536484449617607,0.0443041294895374,0.0549121437676005,0.0432623049169417,0.0569868800369592
UGA,0.0247150202012342,0.027336104416021,0.0352637549022562,0.0433389585864598,0.0244117427546097,0.0262397616381324
ZAF,0.0395978507456748,0.1209570439482201,0.0396864082532965,0.1189107693652349,0.0394695450739288,0.1236273307996024
ZMB,0.0316019091559719,0.0362307769099951,0.0358613848316965,0.0371628193304298,0.032607536419604,0.0379973525205021
ZWE,0.0343506435165501,0.0670257217265431,0.0357914912912575,0.0674045395934166,0.0339620766970298,0.068106496516269
