r,t,y,AnnualVariableOperatingCost
REGION,AGOBACKSTOP,2040,0.0
REGION,AGOBIOCHC01N,2040,0.0
REGION,AGOBIOCHP01O,2040,0.0
REGION,AGOBIODIP00X,2015,0.00204044843894738
REGION,AGOBIODIP00X,2016,0.002069825274736854
REGION,AGOBIODIP00X,2017,0.002100699575789474
REGION,AGOBIODIP00X,2018,0.0021289520136842112
REGION,AGOBIODIP00X,2019,0.0021809365674316846
REGION,AGOBIODIP00X,2020,0.002221103149225948
REGION,AGOBIODIP00X,2021,0.0022193707336438844
REGION,AGOBIODIP00X,2022,0.0022540515671460423
REGION,AGOBIODIP00X,2023,0.0022896325798692427
REGION,AGOBIODIP00X,2024,0.002326154062560874
REGION,AGOBIODIP00X,2025,0.0023636544295998637
REGION,AGOBIODIP00X,2026,0.002404405255577148
REGION,AGOBIODIP00X,2027,0.0024461889370807582
REGION,AGOBIODIP00X,2028,0.0024890181651843583
REGION,AGOBIODIP00X,2029,0.002532898330182695
REGION,AGOBIODIP00X,2030,0.002577827146317874
REGION,AGOBIODIP00X,2031,0.0026242153542591373
REGION,AGOBIODIP00X,2032,0.0026716553861056637
REGION,AGOBIODIP00X,2033,0.0027201451266785056
REGION,AGOBIODIP00X,2034,0.0027696618548618745
REGION,AGOBIODIP00X,2035,0.0028201739794347165
REGION,AGOBIODIP00X,2036,0.0028708919199860426
REGION,AGOBIODIP00X,2037,0.0029225634650847376
REGION,AGOBIODIP00X,2038,0.002975185134920274
REGION,AGOBIODIP00X,2039,0.0030287605798821377
REGION,AGOBIODIP00X,2040,0.003083297885412411
REGION,AGOBIOIMP00X,2040,0.0
REGION,AGOBIOPRP00X,2015,326.4717502315798
REGION,AGOBIOPRP00X,2016,331.17204395789554
REGION,AGOBIOPRP00X,2017,336.1119321263163
REGION,AGOBIOPRP00X,2018,340.6323221894742
REGION,AGOBIOPRP00X,2019,348.94985078907
REGION,AGOBIOPRP00X,2020,355.3765038761521
REGION,AGOBIOPRP00X,2021,358.29213302974193
REGION,AGOBIOPRP00X,2022,363.84106639008724
REGION,AGOBIOPRP00X,2023,369.53402842579925
REGION,AGOBIOPRP00X,2024,375.3774656564603
REGION,AGOBIOPRP00X,2025,381.37752438269854
REGION,AGOBIOPRP00X,2026,387.8976565390641
REGION,AGOBIOPRP00X,2027,394.5830455796418
REGION,AGOBIOPRP00X,2028,401.43572207621787
REGION,AGOBIOPRP00X,2029,408.45654847595165
REGION,AGOBIOPRP00X,2030,415.6451590575805
REGION,AGOBIOPRP00X,2031,423.06727232818264
REGION,AGOBIOPRP00X,2032,430.65767742362686
REGION,AGOBIOPRP00X,2033,438.41603591528167
REGION,AGOBIOPRP00X,2034,446.33871242462055
REGION,AGOBIOPRP00X,2035,454.42065235627535
REGION,AGOBIOPRP00X,2036,462.53552284448745
REGION,AGOBIOPRP00X,2037,470.80297006027877
REGION,AGOBIOPRP00X,2038,479.2224372339647
REGION,AGOBIOPRP00X,2039,487.7945084278628
REGION,AGOBIOPRP00X,2040,496.5204773127065
REGION,AGOCO1DIP00X,2040,0.0
REGION,AGOCO1EXP00X,2015,-29247.162697598767
REGION,AGOCO1EXP00X,2016,-21479.53386801526
REGION,AGOCO1EXP00X,2017,-22925.84089374626
REGION,AGOCO1EXP00X,2018,-30274.14679231345
REGION,AGOCO1EXP00X,2019,-26785.941790581444
REGION,AGOCO1EXP00X,2020,-27352.840029535546
REGION,AGOCO1EXP00X,2021,-27919.73826848965
REGION,AGOCO1EXP00X,2022,-28486.636507443753
REGION,AGOCO1EXP00X,2023,-29053.534746397854
REGION,AGOCO1EXP00X,2024,-29620.432985351956
REGION,AGOCO1EXP00X,2025,-30187.33122430606
REGION,AGOCO1EXP00X,2026,-30612.504903521633
REGION,AGOCO1EXP00X,2027,-31037.678582737197
REGION,AGOCO1EXP00X,2028,-31462.852261952805
REGION,AGOCO1EXP00X,2029,-31888.025941168373
REGION,AGOCO1EXP00X,2030,-32313.199620383995
REGION,AGOCO1EXP00X,2040,0.0
REGION,AGOCO1IMP00X,2030,16342.276160219159
REGION,AGOCO1IMP00X,2031,2934.5516987938704
REGION,AGOCO1IMP00X,2032,2963.5253553481125
REGION,AGOCO1IMP00X,2033,2991.6273421627448
REGION,AGOCO1IMP00X,2034,3018.847425805952
REGION,AGOCO1IMP00X,2035,3045.181593614557
REGION,AGOCO1IMP00X,2036,3089.421622447687
REGION,AGOCO1IMP00X,2037,3133.333291620478
REGION,AGOCO1IMP00X,2038,3176.901241152251
REGION,AGOCO1IMP00X,2039,3222.5809875811055
REGION,AGOCO1IMP00X,2040,3262.9234388990535
REGION,AGOCO1PRP00X,2015,30396.638947598763
REGION,AGOCO1PRP00X,2016,22361.114535515255
REGION,AGOCO1PRP00X,2017,23956.731223566258
REGION,AGOCO1PRP00X,2018,31522.475682469325
REGION,AGOCO1PRP00X,2019,27890.437491702447
REGION,AGOCO1PRP00X,2020,29035.60715649666
REGION,AGOCO1PRP00X,2021,29767.670838114216
REGION,AGOCO1PRP00X,2022,30489.027972741864
REGION,AGOCO1PRP00X,2023,31213.663919160244
REGION,AGOCO1PRP00X,2024,31942.422013227624
REGION,AGOCO1PRP00X,2025,32675.25487198103
REGION,AGOCO1PRP00X,2026,33154.76343972674
REGION,AGOCO1PRP00X,2027,33635.04235906309
REGION,AGOCO1PRP00X,2028,34115.09132390642
REGION,AGOCO1PRP00X,2029,34595.296431171024
REGION,AGOCO1PRP00X,2030,19547.530142267096
REGION,AGOCO1PRP00X,2040,0.0
REGION,AGOCO1R1P00X,2015,0.0014372154225
REGION,AGOCO1R1P00X,2016,0.0014372154225
REGION,AGOCO1R1P00X,2017,0.0014372154225
REGION,AGOCO1R1P00X,2018,0.0014372154225
REGION,AGOCO1R1P00X,2019,0.0014372154225000002
REGION,AGOCO1R1P00X,2020,0.0021443039896704595
REGION,AGOCO1R1P00X,2021,0.002306957198162682
REGION,AGOCO1R1P00X,2022,0.0024500365953052626
REGION,AGOCO1R1P00X,2023,0.0025914659344384505
REGION,AGOCO1R1P00X,2024,0.0027323323264137464
REGION,AGOCO1R1P00X,2025,0.002872612777125887
REGION,AGOCO1R1P00X,2026,0.002894580328329362
REGION,AGOCO1R1P00X,2027,0.002916811125229419
REGION,AGOCO1R1P00X,2028,0.0029381863430798945
REGION,AGOCO1R1P00X,2029,0.002959162225453624
REGION,AGOCO1R1P00X,2030,0.0029765561060147647
REGION,AGOCO1R1P00X,2031,0.0029680624435237473
REGION,AGOCO1R1P00X,2032,0.0029589391795590324
REGION,AGOCO1R1P00X,2033,0.002949187580225908
REGION,AGOCO1R1P00X,2034,0.0029388212459454085
REGION,AGOCO1R1P00X,2035,0.002927859086612289
REGION,AGOCO1R1P00X,2036,0.002941344353689736
REGION,AGOCO1R1P00X,2037,0.0029542588115040115
REGION,AGOCO1R1P00X,2038,0.002966604543002526
REGION,AGOCO1R1P00X,2039,0.0029806689452426477
REGION,AGOCO1R1P00X,2040,0.0029895784321047844
REGION,AGOCO1R2P00X,2040,0.0
REGION,AGOCO1RCP00X,2015,104.19869678399999
REGION,AGOCO1RCP00X,2016,104.19869678399999
REGION,AGOCO1RCP00X,2017,104.19869678399999
REGION,AGOCO1RCP00X,2018,104.19869678399999
REGION,AGOCO1RCP00X,2019,104.19869678399999
REGION,AGOCO1RCP00X,2020,155.46290259238708
REGION,AGOCO1RCP00X,2021,167.25532569562975
REGION,AGOCO1RCP00X,2022,177.6286395952011
REGION,AGOCO1RCP00X,2023,187.88232362474366
REGION,AGOCO1RCP00X,2024,198.0951937586851
REGION,AGOCO1RCP00X,2025,208.26558291513473
REGION,AGOCO1RCP00X,2026,209.85823922197883
REGION,AGOCO1RCP00X,2027,211.46998094781344
REGION,AGOCO1RCP00X,2028,213.0196928480787
REGION,AGOCO1RCP00X,2029,214.54045276549962
REGION,AGOCO1RCP00X,2030,215.80151610931946
REGION,AGOCO1RCP00X,2031,215.18572215899604
REGION,AGOCO1RCP00X,2032,214.52428184833872
REGION,AGOCO1RCP00X,2033,213.81728697049104
REGION,AGOCO1RCP00X,2034,213.06572356145358
REGION,AGOCO1RCP00X,2035,212.27096259620953
REGION,AGOCO1RCP00X,2036,213.24864988877283
REGION,AGOCO1RCP00X,2037,214.18495327993642
REGION,AGOCO1RCP00X,2038,215.08002378422648
REGION,AGOCO1RCP00X,2039,216.09969860925534
REGION,AGOCO1RCP00X,2040,216.74563999390458
REGION,AGOCOADIP00X,2040,0.0
REGION,AGOCOAIMP00X,2040,0.0
REGION,AGOCOAPRP00X,2040,0.0
REGION,AGOCOASCC01N,2040,0.0
REGION,AGOCOASCP01N,2040,0.0
REGION,AGOCOASCP01O,2040,0.0
REGION,AGOEL1TRP00X,2015,0.0003369635954207153
REGION,AGOEL1TRP00X,2016,0.0003647526128345218
REGION,AGOEL1TRP00X,2017,0.0003763374608397241
REGION,AGOEL1TRP00X,2018,0.00041089609236166227
REGION,AGOEL1TRP00X,2019,0.0004515102973457606
REGION,AGOEL1TRP00X,2020,0.00048510432263272065
REGION,AGOEL1TRP00X,2021,0.0005220507579279874
REGION,AGOEL1TRP00X,2022,0.000602548856180678
REGION,AGOEL1TRP00X,2023,0.0006840469033627212
REGION,AGOEL1TRP00X,2024,0.0007664078349480471
REGION,AGOEL1TRP00X,2025,0.0008496756924946124
REGION,AGOEL1TRP00X,2026,0.0009356460314425299
REGION,AGOEL1TRP00X,2027,0.000990994040898644
REGION,AGOEL1TRP00X,2028,0.0010474867702571077
REGION,AGOEL1TRP00X,2029,0.0011050518136869131
REGION,AGOEL1TRP00X,2030,0.0011358564500077203
REGION,AGOEL1TRP00X,2031,0.001170038727783007
REGION,AGOEL1TRP00X,2032,0.0012054922352171436
REGION,AGOEL1TRP00X,2033,0.0012422554657517788
REGION,AGOEL1TRP00X,2034,0.001298720101610073
REGION,AGOEL1TRP00X,2035,0.0013644988024408221
REGION,AGOEL1TRP00X,2036,0.0014329456712420241
REGION,AGOEL1TRP00X,2037,0.0015034059537969607
REGION,AGOEL1TRP00X,2038,0.0015759261885611574
REGION,AGOEL1TRP00X,2039,0.001650562823429002
REGION,AGOEL1TRP00X,2040,0.0017273795273214116
REGION,AGOEL2DIP00X,2015,0.0003201154156496789
REGION,AGOEL2DIP00X,2016,0.00034651498219279506
REGION,AGOEL2DIP00X,2017,0.00035752058779773725
REGION,AGOEL2DIP00X,2018,0.00039035128774357836
REGION,AGOEL2DIP00X,2019,0.0004289347824784718
REGION,AGOEL2DIP00X,2020,0.0004608491065010837
REGION,AGOEL2DIP00X,2021,0.0004516422024930325
REGION,AGOEL2DIP00X,2022,0.00048399654915921083
REGION,AGOEL2DIP00X,2023,0.0005174868346173478
REGION,AGOEL2DIP00X,2024,0.0005519816739698743
REGION,AGOEL2DIP00X,2025,0.000587521742952339
REGION,AGOEL2DIP00X,2026,0.0006258116652384452
REGION,AGOEL2DIP00X,2027,0.0006650603436312562
REGION,AGOEL2DIP00X,2028,0.0007054521218515208
REGION,AGOEL2DIP00X,2029,0.0007469178670703614
REGION,AGOEL2DIP00X,2030,0.0007630161497625248
REGION,AGOEL2DIP00X,2031,0.0007799932182662264
REGION,AGOEL2DIP00X,2032,0.0007974166728977749
REGION,AGOEL2DIP00X,2033,0.0008152856159911977
REGION,AGOEL2DIP00X,2034,0.0008510328323189817
REGION,AGOEL2DIP00X,2035,0.0008947490971255165
REGION,AGOEL2DIP00X,2036,0.0009400775230685026
REGION,AGOEL2DIP00X,2037,0.00098635067426666
REGION,AGOEL2DIP00X,2038,0.0010335651033109815
REGION,AGOEL2DIP00X,2039,0.0010817244266011134
REGION,AGOEL2DIP00X,2040,0.001130836654293221
REGION,AGOEL3DIP00X,2023,0.00013235772357723615
REGION,AGOEL3DIP00X,2024,0.0001761057692307691
REGION,AGOEL3DIP00X,2025,0.00021967016491754104
REGION,AGOEL3DIP00X,2026,0.0002630520646319566
REGION,AGOEL3DIP00X,2027,0.0002763839952224541
REGION,AGOEL3DIP00X,2028,0.00028966030989272966
REGION,AGOEL3DIP00X,2029,0.00030288135593220414
REGION,AGOEL3DIP00X,2030,0.00031604747774480744
REGION,AGOEL3DIP00X,2031,0.00033154357312762826
REGION,AGOEL3DIP00X,2032,0.00034780095055850924
REGION,AGOEL3DIP00X,2033,0.0003648570764729896
REGION,AGOEL3DIP00X,2034,0.0003827512642105851
REGION,AGOEL3DIP00X,2035,0.000401524765193262
REGION,AGOEL3DIP00X,2036,0.00042122086461141765
REGION,AGOEL3DIP00X,2037,0.00044188498184044995
REGION,AGOEL3DIP00X,2038,0.000463564775822115
REGION,AGOEL3DIP00X,2039,0.00048631025565643536
REGION,AGOEL3DIP00X,2040,0.0005101738966621168
REGION,AGOEL4DIP00X,2040,0.0
REGION,AGOELCODBP00,2020,0.0001330919607120794
REGION,AGOELCODBP00,2021,0.00010044420380517258
REGION,AGOELCODBP00,2023,0.00010052983837039906
REGION,AGOELCODBP00,2024,0.00017266002003019237
REGION,AGOELCODBP00,2025,0.000109944505998351
REGION,AGOGEOCVP01N,2040,0.0
REGION,AGOGEOCVP01O,2040,0.0
REGION,AGOHFODIP00X,2015,0.00016632926273684213
REGION,AGOHFODIP00X,2016,0.0001625837461894737
REGION,AGOHFODIP00X,2017,0.00013488030231578957
REGION,AGOHFODIP00X,2018,0.0001342180051368423
REGION,AGOHFODIP00X,2019,0.00014386604531119594
