r,e,y,AnnualEmissions
REGION,AGOCO2,2015.0,3.7305
REGION,AGOCO2,2016.0,3.8923
REGION,AGOCO2,2017.0,1.0342
REGION,AGOCO2,2018.0,1.0355
REGION,AGOCO2,2019.0,1.04
REGION,AGOCO2,2020.0,1.0427
REGION,AGOCO2,2021.0,0.9946
REGION,AGOCO2,2022.0,1.3613
REGION,AGOCO2,2023.0,1.4771
REGION,AGOCO2,2024.0,0.8553
REGION,AGOCO2,2025.0,1.0341
REGION,AGOCO2,2026.0,1.3769
REGION,AGOCO2,2027.0,1.5033
REGION,AGOCO2,2028.0,1.4705
REGION,AGOCO2,2029.0,1.4208
REGION,AGOCO2,2030.0,1.3712
REGION,AGOCO2,2031.0,0.7884
REGION,AGOCO2,2032.0,0.4937
REGION,AGOCO2,2033.0,0.4044
REGION,AGOCO2,2034.0,0.3554
REGION,AGOCO2,2035.0,0.3065
REGION,AGOCO2,2036.0,0.2577
REGION,AGOCO2,2037.0,0.209
REGION,AGOCO2,2038.0,0.1606
REGION,AGOCO2,2039.0,0.113
REGION,AGOCO2,2040.0,0.0639
REGION,BDICO2,2015.0,0.0054
REGION,BDICO2,2016.0,0.0054
REGION,BDICO2,2017.0,0.0058
REGION,BDICO2,2018.0,0.0059
REGION,BDICO2,2019.0,0.0059
REGION,BDICO2,2020.0,0.0059
REGION,BDICO2,2021.0,0.0057
REGION,BDICO2,2022.0,0.0056
REGION,BDICO2,2023.0,0.0056
REGION,BDICO2,2024.0,0.0246
REGION,BDICO2,2025.0,0.0243
REGION,BDICO2,2026.0,0.0241
REGION,BDICO2,2027.0,0.0234
REGION,BDICO2,2028.0,0.023
REGION,BDICO2,2029.0,0.0228
REGION,BDICO2,2030.0,0.0226
REGION,BDICO2,2031.0,0.0224
REGION,BDICO2,2032.0,0.0222
REGION,BDICO2,2033.0,0.022
REGION,BDICO2,2034.0,0.0218
REGION,BDICO2,2035.0,0.0216
REGION,BDICO2,2036.0,0.0214
REGION,BDICO2,2037.0,0.0212
REGION,BDICO2,2038.0,0.0211
REGION,BDICO2,2039.0,0.0209
REGION,BDICO2,2040.0,0.0207
REGION,BENCO2,2015.0,0.2637
REGION,BENCO2,2016.0,0.2616
REGION,BENCO2,2017.0,0.2638
REGION,BENCO2,2018.0,0.2675
REGION,BENCO2,2019.0,0.7478
REGION,BENCO2,2020.0,0.3081
REGION,BENCO2,2021.0,0.1725
REGION,BENCO2,2022.0,0.1641
REGION,BENCO2,2023.0,0.1542
REGION,BENCO2,2024.0,0.15
REGION,BENCO2,2025.0,0.1654
REGION,BENCO2,2026.0,0.157
REGION,BENCO2,2027.0,0.1487
REGION,BENCO2,2028.0,0.1383
REGION,BENCO2,2029.0,0.13
REGION,BENCO2,2030.0,0.1216
REGION,BENCO2,2031.0,0.1132
REGION,BENCO2,2032.0,0.1048
REGION,BENCO2,2033.0,0.0964
REGION,BENCO2,2034.0,0.088
REGION,BENCO2,2035.0,0.0796
REGION,BENCO2,2036.0,0.0712
REGION,BENCO2,2037.0,0.0628
REGION,BENCO2,2038.0,0.0544
REGION,BENCO2,2039.0,0.046
REGION,BENCO2,2040.0,0.0376
REGION,BENREN,2015.0,0.0
REGION,BENREN,2016.0,0.0
REGION,BENREN,2017.0,0.0
REGION,BENREN,2018.0,0.0
REGION,BENREN,2019.0,0.0
REGION,BENREN,2020.0,0.0
REGION,BENREN,2021.0,-24.2657
REGION,BENREN,2022.0,-21.1696
REGION,BENREN,2023.0,-41.3023
REGION,BENREN,2024.0,-36.6367
REGION,BENREN,2025.0,-39.2107
REGION,BENREN,2026.0,-35.1604
REGION,BENREN,2027.0,-31.9249
