r,t,f,y,ProductionByTechnologyAnnual
REGION,AGOCO1EXP00X,AGOCRE,2019.0,3485.4974
REGION,AGOCO1EXP00X,AGOCRE,2020.0,3485.4974
REGION,AGOCO1EXP00X,AGOCRE,2021.0,3485.4974
REGION,AGOCO1EXP00X,AGOCRE,2022.0,3485.4974
REGION,AGOCO1EXP00X,AGOCRE,2023.0,3485.4974
REGION,AGOCO1EXP00X,AGOCRE,2024.0,3485.4974
REGION,AGOCO1EXP00X,AGOCRE,2025.0,3485.4974
REGION,AGOCO1EXP00X,AGOCRE,2026.0,3485.4974
REGION,AGOCO1EXP00X,AGOCRE,2027.0,3485.4974
REGION,AGOCO1EXP00X,AGOCRE,2028.0,3485.4974
REGION,AGOCO1EXP00X,AGOCRE,2029.0,3485.4974
REGION,AGOCO1EXP00X,AGOCRE,2030.0,3485.4974
REGION,AGOCO1EXP00X,AGOCRE,2040.0,0.0
REGION,AGOCO1IMP00X,AGOCO1,2030.0,1691.5893
REGION,AGOCO1IMP00X,AGOCO1,2031.0,299.8043
REGION,AGOCO1IMP00X,AGOCO1,2032.0,298.8827
REGION,AGOCO1IMP00X,AGOCO1,2033.0,297.8977
REGION,AGOCO1IMP00X,AGOCO1,2034.0,296.8506
REGION,AGOCO1IMP00X,AGOCO1,2035.0,295.7433
REGION,AGOCO1IMP00X,AGOCO1,2036.0,297.1055
REGION,AGOCO1IMP00X,AGOCO1,2037.0,298.41
REGION,AGOCO1IMP00X,AGOCO1,2038.0,299.657
REGION,AGOCO1IMP00X,AGOCO1,2039.0,301.0777
REGION,AGOCO1IMP00X,AGOCO1,2040.0,301.9776
REGION,AGOCO1PRP00X,AGOCO1,2015.0,3838.9481
REGION,AGOCO1PRP00X,AGOCO1,2016.0,3682.2906
REGION,AGOCO1PRP00X,AGOCO1,2017.0,3373.6636
REGION,AGOCO1PRP00X,AGOCO1,2018.0,3665.8777
REGION,AGOCO1PRP00X,AGOCO1,2019.0,3665.8777
REGION,AGOCO1PRP00X,AGOCO1,2020.0,3737.3098
REGION,AGOCO1PRP00X,AGOCO1,2021.0,3753.7304
REGION,AGOCO1PRP00X,AGOCO1,2022.0,3768.1873
REGION,AGOCO1PRP00X,AGOCO1,2023.0,3782.4731
REGION,AGOCO1PRP00X,AGOCO1,2024.0,3796.702
REGION,AGOCO1PRP00X,AGOCO1,2025.0,3810.8718
REGION,AGOCO1PRP00X,AGOCO1,2026.0,3813.0907
REGION,AGOCO1PRP00X,AGOCO1,2027.0,3815.3363
REGION,AGOCO1PRP00X,AGOCO1,2028.0,3817.4909
REGION,AGOCO1PRP00X,AGOCO1,2029.0,3819.6097
REGION,AGOCO1PRP00X,AGOCO1,2030.0,2129.7773
REGION,AGOCO1PRP00X,AGOCO1,2040.0,0.0
REGION,AGOCO1R1P00X,AGOHFO,2015.0,11.4977
REGION,AGOCO1R1P00X,AGOHFO,2016.0,11.4977
REGION,AGOCO1R1P00X,AGOHFO,2017.0,11.4977
REGION,AGOCO1R1P00X,AGOHFO,2018.0,11.4977
REGION,AGOCO1R1P00X,AGOHFO,2019.0,11.4977
REGION,AGOCO1R1P00X,AGOHFO,2020.0,17.1551
REGION,AGOCO1R1P00X,AGOHFO,2021.0,18.4557
REGION,AGOCO1R1P00X,AGOHFO,2022.0,19.6006
REGION,AGOCO1R1P00X,AGOHFO,2023.0,20.7321
REGION,AGOCO1R1P00X,AGOHFO,2024.0,21.859
REGION,AGOCO1R1P00X,AGOHFO,2025.0,22.9813
REGION,AGOCO1R1P00X,AGOHFO,2026.0,23.157
REGION,AGOCO1R1P00X,AGOHFO,2027.0,23.3348
REGION,AGOCO1R1P00X,AGOHFO,2028.0,23.5055
REGION,AGOCO1R1P00X,AGOHFO,2029.0,23.6733
REGION,AGOCO1R1P00X,AGOHFO,2030.0,23.8124
REGION,AGOCO1R1P00X,AGOHFO,2031.0,23.7445
REGION,AGOCO1R1P00X,AGOHFO,2032.0,23.6715
REGION,AGOCO1R1P00X,AGOHFO,2033.0,23.5935
REGION,AGOCO1R1P00X,AGOHFO,2034.0,23.5106
REGION,AGOCO1R1P00X,AGOHFO,2035.0,23.4229
REGION,AGOCO1R1P00X,AGOHFO,2036.0,23.5308
REGION,AGOCO1R1P00X,AGOHFO,2037.0,23.6341
REGION,AGOCO1R1P00X,AGOHFO,2038.0,23.7328
REGION,AGOCO1R1P00X,AGOHFO,2039.0,23.8454
REGION,AGOCO1R1P00X,AGOHFO,2040.0,23.9166
REGION,AGOCO1R1P00X,AGOLFO,2015.0,132.2238
REGION,AGOCO1R1P00X,AGOLFO,2016.0,132.2238
REGION,AGOCO1R1P00X,AGOLFO,2017.0,132.2238
REGION,AGOCO1R1P00X,AGOLFO,2018.0,132.2238
REGION,AGOCO1R1P00X,AGOLFO,2019.0,132.2238
REGION,AGOCO1R1P00X,AGOLFO,2020.0,197.2842
REGION,AGOCO1R1P00X,AGOLFO,2021.0,212.2401
REGION,AGOCO1R1P00X,AGOLFO,2022.0,225.4074
REGION,AGOCO1R1P00X,AGOLFO,2023.0,238.4189
REGION,AGOCO1R1P00X,AGOLFO,2024.0,251.3786
REGION,AGOCO1R1P00X,AGOLFO,2025.0,264.2844
REGION,AGOCO1R1P00X,AGOLFO,2026.0,266.3055
REGION,AGOCO1R1P00X,AGOLFO,2027.0,268.3507
REGION,AGOCO1R1P00X,AGOLFO,2028.0,270.3131
REGION,AGOCO1R1P00X,AGOLFO,2029.0,272.2429
REGION,AGOCO1R1P00X,AGOLFO,2030.0,273.8432
REGION,AGOCO1R1P00X,AGOLFO,2031.0,273.0617
REGION,AGOCO1R1P00X,AGOLFO,2032.0,272.2224
REGION,AGOCO1R1P00X,AGOLFO,2033.0,271.3253
REGION,AGOCO1R1P00X,AGOLFO,2034.0,270.3716
REGION,AGOCO1R1P00X,AGOLFO,2035.0,269.363
REGION,AGOCO1R1P00X,AGOLFO,2036.0,270.6037
REGION,AGOCO1R1P00X,AGOLFO,2037.0,271.7918
REGION,AGOCO1R1P00X,AGOLFO,2038.0,272.9276
REGION,AGOCO1R1P00X,AGOLFO,2039.0,274.2215
REGION,AGOCO1R1P00X,AGOLFO,2040.0,275.0412
REGION,AGOCO1R2P00X,AGOHFO,2040.0,0.0
REGION,AGOCO1R2P00X,AGOLFO,2040.0,0.0
REGION,AGOCO1RCP00X,AGOCO2,2015.0,143.7215
REGION,AGOCO1RCP00X,AGOCO2,2016.0,143.7215
REGION,AGOCO1RCP00X,AGOCO2,2017.0,143.7215
REGION,AGOCO1RCP00X,AGOCO2,2018.0,143.7215
REGION,AGOCO1RCP00X,AGOCO2,2019.0,143.7215
REGION,AGOCO1RCP00X,AGOCO2,2020.0,214.4393
REGION,AGOCO1RCP00X,AGOCO2,2021.0,230.6957
REGION,AGOCO1RCP00X,AGOCO2,2022.0,245.0081
REGION,AGOCO1RCP00X,AGOCO2,2023.0,259.151
REGION,AGOCO1RCP00X,AGOCO2,2024.0,273.2376
REGION,AGOCO1RCP00X,AGOCO2,2025.0,287.2657
REGION,AGOCO1RCP00X,AGOCO2,2026.0,289.4624
REGION,AGOCO1RCP00X,AGOCO2,2027.0,291.6855
REGION,AGOCO1RCP00X,AGOCO2,2028.0,293.8186
REGION,AGOCO1RCP00X,AGOCO2,2029.0,295.9162
REGION,AGOCO1RCP00X,AGOCO2,2030.0,297.6556
REGION,AGOCO1RCP00X,AGOCO2,2031.0,296.8062
REGION,AGOCO1RCP00X,AGOCO2,2032.0,295.8939
REGION,AGOCO1RCP00X,AGOCO2,2033.0,294.9188
REGION,AGOCO1RCP00X,AGOCO2,2034.0,293.8821
REGION,AGOCO1RCP00X,AGOCO2,2035.0,292.7859
REGION,AGOCO1RCP00X,AGOCO2,2036.0,294.1344
REGION,AGOCO1RCP00X,AGOCO2,2037.0,295.4259
REGION,AGOCO1RCP00X,AGOCO2,2038.0,296.6605
REGION,AGOCO1RCP00X,AGOCO2,2039.0,298.0669
REGION,AGOCO1RCP00X,AGOCO2,2040.0,298.9578
REGION,AGOCOADIP00X,AGOCO3,2040.0,0.0
REGION,AGOCOAIMP00X,AGOCOA,2040.0,0.0
REGION,AGOCOAPRP00X,AGOCOA,2040.0,0.0
REGION,AGOCOASCC01N,AGOEL1,2040.0,0.0
REGION,AGOCOASCP01N,AGOEL1,2040.0,0.0
REGION,AGOCOASCP01O,AGOEL1,2040.0,0.0
REGION,AGOEL1TRP00X,AGOEL2,2015.0,32.0115
REGION,AGOEL1TRP00X,AGOEL2,2016.0,34.6515
REGION,AGOEL1TRP00X,AGOEL2,2017.0,35.7521
REGION,AGOEL1TRP00X,AGOEL2,2018.0,39.0351
REGION,AGOEL1TRP00X,AGOEL2,2019.0,42.8935
REGION,AGOEL1TRP00X,AGOEL2,2020.0,46.0835
REGION,AGOEL1TRP00X,AGOEL2,2021.0,52.5355
REGION,AGOEL1TRP00X,AGOEL2,2022.0,63.1103
REGION,AGOEL1TRP00X,AGOEL2,2023.0,73.7685
REGION,AGOEL1TRP00X,AGOEL2,2024.0,84.4964
REGION,AGOEL1TRP00X,AGOEL2,2025.0,95.2982
REGION,AGOEL1TRP00X,AGOEL2,2026.0,106.3447
REGION,AGOEL1TRP00X,AGOEL2,2027.0,112.5107
REGION,AGOEL1TRP00X,AGOEL2,2028.0,118.7824
REGION,AGOEL1TRP00X,AGOEL2,2029.0,125.1515
REGION,AGOEL1TRP00X,AGOEL2,2030.0,128.9746
REGION,AGOEL1TRP00X,AGOEL2,2031.0,133.2549
REGION,AGOEL1TRP00X,AGOEL2,2032.0,137.7068
REGION,AGOEL1TRP00X,AGOEL2,2033.0,142.3362
REGION,AGOEL1TRP00X,AGOEL2,2034.0,148.8932
REGION,AGOEL1TRP00X,AGOEL2,2035.0,156.3937
REGION,AGOEL1TRP00X,AGOEL2,2036.0,164.2091
REGION,AGOEL1TRP00X,AGOEL2,2037.0,172.2804
REGION,AGOEL1TRP00X,AGOEL2,2038.0,180.615
REGION,AGOEL1TRP00X,AGOEL2,2039.0,189.2217
REGION,AGOEL1TRP00X,AGOEL2,2040.0,198.1101
REGION,AGOEL2DIP00X,AGOEL3E,2015.0,29.6528
REGION,AGOEL2DIP00X,AGOEL3E,2016.0,32.0982
REGION,AGOEL2DIP00X,AGOEL3E,2017.0,33.2118
REGION,AGOEL2DIP00X,AGOEL3E,2018.0,36.3643
REGION,AGOEL2DIP00X,AGOEL3E,2019.0,40.0715
REGION,AGOEL2DIP00X,AGOEL3E,2020.0,43.173
REGION,AGOEL2DIP00X,AGOEL3E,2021.0,42.3593
REGION,AGOEL2DIP00X,AGOEL3E,2022.0,45.4441
REGION,AGOEL2DIP00X,AGOEL3E,2023.0,48.6431
REGION,AGOEL2DIP00X,AGOEL3E,2024.0,51.9437
REGION,AGOEL2DIP00X,AGOEL3E,2025.0,55.3501
REGION,AGOEL2DIP00X,AGOEL3E,2026.0,59.0233
REGION,AGOEL2DIP00X,AGOEL3E,2027.0,62.795
REGION,AGOEL2DIP00X,AGOEL3E,2028.0,66.6838
REGION,AGOEL2DIP00X,AGOEL3E,2029.0,70.682
REGION,AGOEL2DIP00X,AGOEL3E,2030.0,72.2857
REGION,AGOEL2DIP00X,AGOEL3E,2031.0,73.8941
REGION,AGOEL2DIP00X,AGOEL3E,2032.0,75.5447
REGION,AGOEL2DIP00X,AGOEL3E,2033.0,77.2376
REGION,AGOEL2DIP00X,AGOEL3E,2034.0,80.6242
REGION,AGOEL2DIP00X,AGOEL3E,2035.0,84.7657
REGION,AGOEL2DIP00X,AGOEL3E,2036.0,89.06
REGION,AGOEL2DIP00X,AGOEL3E,2037.0,93.4437
REGION,AGOEL2DIP00X,AGOEL3E,2038.0,97.9167
REGION,AGOEL2DIP00X,AGOEL3E,2039.0,102.4792
REGION,AGOEL2DIP00X,AGOEL3E,2040.0,107.1319
REGION,AGOEL3DIP00X,AGOEL3U,2021.0,6.0942
REGION,AGOEL3DIP00X,AGOEL3U,2022.0,12.1883
REGION,AGOEL3DIP00X,AGOEL3U,2023.0,18.2825
REGION,AGOEL3DIP00X,AGOEL3U,2024.0,24.3767
REGION,AGOEL3DIP00X,AGOEL3U,2025.0,30.4708
REGION,AGOEL3DIP00X,AGOEL3U,2026.0,36.565
REGION,AGOEL3DIP00X,AGOEL3U,2027.0,38.518
REGION,AGOEL3DIP00X,AGOEL3U,2028.0,40.471
REGION,AGOEL3DIP00X,AGOEL3U,2029.0,42.424
REGION,AGOEL3DIP00X,AGOEL3U,2030.0,44.377
REGION,AGOEL3DIP00X,AGOEL3U,2031.0,46.6495
REGION,AGOEL3DIP00X,AGOEL3U,2032.0,49.0385
REGION,AGOEL3DIP00X,AGOEL3U,2033.0,51.5497
REGION,AGOEL3DIP00X,AGOEL3U,2034.0,54.1896
REGION,AGOEL3DIP00X,AGOEL3U,2035.0,56.9646
REGION,AGOEL3DIP00X,AGOEL3U,2036.0,59.8818
REGION,AGOEL3DIP00X,AGOEL3U,2037.0,62.9483
REGION,AGOEL3DIP00X,AGOEL3U,2038.0,66.1719
REGION,AGOEL3DIP00X,AGOEL3U,2039.0,69.5605
REGION,AGOEL3DIP00X,AGOEL3U,2040.0,73.1227
REGION,AGOEL4DIP00X,AGOEL3U,2040.0,0.0
REGION,AGOELCODBP00,AGOEL1,2023.0,4.9332
REGION,AGOELCODBP00,AGOEL1,2026.0,0.911
REGION,AGOELCODBP00,AGOEL1,2027.0,1.9565
REGION,AGOELCODBP00,AGOEL1,2028.0,1.2827
REGION,AGOELCODBP00,AGOEL1,2030.0,1.6563
REGION,AGOELCODBP00,AGOEL1,2038.0,2.241
REGION,AGOELCODBP00,AGOEL1,2039.0,7.4765
REGION,AGOELCODBP00,AGOEL1,2040.0,8.8292
REGION,AGOELCODBP00,CODEL1,2019.0,8.3803
REGION,AGOELCODBP00,CODEL1,2020.0,12.6451
REGION,AGOELCODBP00,CODEL1,2021.0,7.8855
REGION,AGOELCODBP00,CODEL1,2022.0,8.8685
REGION,AGOELCODBP00,CODEL1,2023.0,5.683
REGION,AGOELCODBP00,CODEL1,2024.0,13.1108
REGION,AGOELCODBP00,CODEL1,2025.0,6.846
REGION,AGOELCODBP00,CODEL1,2026.0,5.638
REGION,AGOELCODBP00,CODEL1,2027.0,5.5569
REGION,AGOELCODBP00,CODEL1,2028.0,5.4389
REGION,AGOELCODBP00,CODEL1,2029.0,5.683
REGION,AGOELCODBP00,CODEL1,2030.0,5.683
REGION,AGOELCODBP00,CODEL1,2031.0,3.0169
REGION,AGOELCODBP00,CODEL1,2032.0,2.0957
REGION,AGOELCODBP00,CODEL1,2033.0,2.5189
REGION,AGOELCODBP00,CODEL1,2034.0,2.4442
REGION,AGOELCODBP00,CODEL1,2035.0,2.1916
REGION,AGOELCODBP00,CODEL1,2036.0,1.9699
REGION,AGOELCODBP00,CODEL1,2037.0,2.4261
REGION,AGOELCODBP00,CODEL1,2038.0,2.3328
REGION,AGOELCODBP00,CODEL1,2039.0,2.3108
REGION,AGOELCODBP00,CODEL1,2040.0,2.7832
REGION,AGOHFODIP00X,AGOHF3,2015.0,15.8013
REGION,AGOHFODIP00X,AGOHF3,2016.0,15.4455
REGION,AGOHFODIP00X,AGOHF3,2017.0,12.8136
REGION,AGOHFODIP00X,AGOHF3,2018.0,12.7507
REGION,AGOHFODIP00X,AGOHF3,2019.0,13.6673
REGION,AGOHFODIP00X,AGOHF3,2020.0,12.6275
REGION,AGOHFODIP00X,AGOHF3,2021.0,13.9876
REGION,AGOHFODIP00X,AGOHF3,2022.0,15.1821
REGION,AGOHFODIP00X,AGOHF3,2023.0,16.3726
REGION,AGOHFODIP00X,AGOHF3,2024.0,17.5587
REGION,AGOHFODIP00X,AGOHF3,2025.0,18.7404
REGION,AGOHFODIP00X,AGOHF3,2026.0,19.0296
REGION,AGOHFODIP00X,AGOHF3,2027.0,19.3141
REGION,AGOHFODIP00X,AGOHF3,2028.0,19.5938
REGION,AGOHFODIP00X,AGOHF3,2029.0,19.8688
REGION,AGOHFODIP00X,AGOHF3,2030.0,20.139
REGION,AGOHFODIP00X,AGOHF3,2031.0,20.1726
REGION,AGOHFODIP00X,AGOHF3,2032.0,20.2014
REGION,AGOHFODIP00X,AGOHF3,2033.0,20.2254
REGION,AGOHFODIP00X,AGOHF3,2034.0,20.2447
REGION,AGOHFODIP00X,AGOHF3,2035.0,20.2595
REGION,AGOHFODIP00X,AGOHF3,2036.0,20.4601
REGION,AGOHFODIP00X,AGOHF3,2037.0,20.6564
REGION,AGOHFODIP00X,AGOHF3,2038.0,20.8483
REGION,AGOHFODIP00X,AGOHF3,2039.0,21.036
REGION,AGOHFODIP00X,AGOHF3,2040.0,21.2192
REGION,AGOHFOEMP00X,AGOHFE,2015.0,3.2474
REGION,AGOHFOEMP00X,AGOHFE,2016.0,3.1949
REGION,AGOHFOEMP00X,AGOHFE,2017.0,3.7262
REGION,AGOHFOEMP00X,AGOHFE,2018.0,2.7819
REGION,AGOHFOEMP00X,AGOHFE,2019.0,2.7819
REGION,AGOHFOEMP00X,AGOHFE,2020.0,2.7819
REGION,AGOHFOEMP00X,AGOHFE,2021.0,2.7124
REGION,AGOHFOEMP00X,AGOHFE,2022.0,2.6428
REGION,AGOHFOEMP00X,AGOHFE,2023.0,2.5733
REGION,AGOHFOEMP00X,AGOHFE,2024.0,2.5037
REGION,AGOHFOEMP00X,AGOHFE,2025.0,2.4342
REGION,AGOHFOEMP00X,AGOHFE,2026.0,2.3646
REGION,AGOHFOEMP00X,AGOHFE,2027.0,2.2951
REGION,AGOHFOEMP00X,AGOHFE,2028.0,2.2255
REGION,AGOHFOEMP00X,AGOHFE,2029.0,2.156
REGION,AGOHFOEMP00X,AGOHFE,2030.0,2.0865
REGION,AGOHFOEMP00X,AGOHFE,2031.0,2.0343
REGION,AGOHFOEMP00X,AGOHFE,2032.0,1.9821
REGION,AGOHFOEMP00X,AGOHFE,2033.0,1.93
REGION,AGOHFOEMP00X,AGOHFE,2034.0,1.8778
REGION,AGOHFOEMP00X,AGOHFE,2035.0,1.8256
REGION,AGOHFOEMP00X,AGOHFE,2036.0,1.7735
REGION,AGOHFOEMP00X,AGOHFE,2037.0,1.7213
REGION,AGOHFOEMP00X,AGOHFE,2038.0,1.6692
REGION,AGOHFOEMP00X,AGOHFE,2039.0,1.617
REGION,AGOHFOEMP00X,AGOHFE,2040.0,1.5648
REGION,AGOHFOGCP01N,AGOEL1,2040.0,0.0
REGION,AGOHFOGCP01O,AGOEL1,2015.0,5.7683
REGION,AGOHFOGCP01O,AGOEL1,2016.0,5.7683
REGION,AGOHFOGCP01O,AGOEL1,2017.0,1.1537
REGION,AGOHFOGCP01O,AGOEL1,2018.0,1.1537
REGION,AGOHFOGCP01O,AGOEL1,2019.0,1.1537
REGION,AGOHFOGCP01O,AGOEL1,2020.0,1.1537
REGION,AGOHFOGCP01O,AGOEL1,2021.0,1.096
REGION,AGOHFOGCP01O,AGOEL1,2022.0,1.0383
REGION,AGOHFOGCP01O,AGOEL1,2023.0,0.9806
REGION,AGOHFOGCP01O,AGOEL1,2024.0,0.9229
REGION,AGOHFOGCP01O,AGOEL1,2025.0,0.8652
REGION,AGOHFOGCP01O,AGOEL1,2026.0,0.8076
REGION,AGOHFOGCP01O,AGOEL1,2027.0,0.7499
REGION,AGOHFOGCP01O,AGOEL1,2028.0,0.6922
REGION,AGOHFOGCP01O,AGOEL1,2029.0,0.6345
REGION,AGOHFOGCP01O,AGOEL1,2030.0,0.5768
REGION,AGOHFOGCP01O,AGOEL1,2031.0,0.5191
REGION,AGOHFOGCP01O,AGOEL1,2032.0,0.4615
REGION,AGOHFOGCP01O,AGOEL1,2033.0,0.4038
REGION,AGOHFOGCP01O,AGOEL1,2034.0,0.3461
REGION,AGOHFOGCP01O,AGOEL1,2035.0,0.2884
REGION,AGOHFOGCP01O,AGOEL1,2036.0,0.2307
REGION,AGOHFOGCP01O,AGOEL1,2037.0,0.173
REGION,AGOHFOGCP01O,AGOEL1,2038.0,0.1154
REGION,AGOHFOGCP01O,AGOEL1,2039.0,0.0577
REGION,AGOHFOGCP01O,AGOEL1,2040.0,0.0
REGION,AGOHFOIMP00X,AGOHFO,2015.0,24.8962
REGION,AGOHFOIMP00X,AGOHFO,2016.0,24.4686
REGION,AGOHFOIMP00X,AGOHFO,2017.0,9.0503
REGION,AGOHFOIMP00X,AGOHFO,2018.0,8.0303
REGION,AGOHFOIMP00X,AGOHFO,2019.0,8.9951
REGION,AGOHFOIMP00X,AGOHFO,2020.0,2.2431
REGION,AGOHFOIMP00X,AGOHFO,2021.0,2.1393
REGION,AGOHFOIMP00X,AGOHFO,2022.0,2.0166
REGION,AGOHFOIMP00X,AGOHFO,2023.0,1.9032
REGION,AGOHFOIMP00X,AGOHFO,2024.0,1.7898
REGION,AGOHFOIMP00X,AGOHFO,2025.0,1.6764
REGION,AGOHFOIMP00X,AGOHFO,2026.0,1.57
REGION,AGOHFOIMP00X,AGOHFO,2027.0,1.4566
REGION,AGOHFOIMP00X,AGOHFO,2028.0,1.3453
REGION,AGOHFOIMP00X,AGOHFO,2029.0,1.2319
REGION,AGOHFOIMP00X,AGOHFO,2030.0,1.1421
REGION,AGOHFOIMP00X,AGOHFO,2031.0,1.0279
REGION,AGOHFOIMP00X,AGOHFO,2032.0,0.9137
REGION,AGOHFOIMP00X,AGOHFO,2033.0,0.7995
REGION,AGOHFOIMP00X,AGOHFO,2034.0,0.6853
REGION,AGOHFOIMP00X,AGOHFO,2035.0,0.5711
REGION,AGOHFOIMP00X,AGOHFO,2036.0,0.4568
REGION,AGOHFOIMP00X,AGOHFO,2037.0,0.3426
REGION,AGOHFOIMP00X,AGOHFO,2038.0,0.2284
REGION,AGOHFOIMP00X,AGOHFO,2039.0,0.0959
REGION,AGOHFOIMP00X,AGOHFO,2040.0,0.0
REGION,AGOHYDLSP00X,AGOEL1,2015.0,11.8039
REGION,AGOHYDLSP00X,AGOEL1,2016.0,11.8039
REGION,AGOHYDLSP00X,AGOEL1,2017.0,31.9775
REGION,AGOHYDLSP00X,AGOEL1,2018.0,35.4333
REGION,AGOHYDLSP00X,AGOEL1,2019.0,47.1627
REGION,AGOHYDLSP00X,AGOEL1,2020.0,52.848
REGION,AGOHYDLSP00X,AGOEL1,2021.0,52.848
REGION,AGOHYDLSP00X,AGOEL1,2022.0,52.848
REGION,AGOHYDLSP00X,AGOEL1,2023.0,52.848
REGION,AGOHYDLSP00X,AGOEL1,2024.0,85.3538
REGION,AGOHYDLSP00X,AGOEL1,2025.0,85.3538
