r,e,y,AnnualEmissions
REGION,AGOCO2,2015.0,3.7305
REGION,AGOCO2,2016.0,3.8923
REGION,AGOCO2,2017.0,1.0342
REGION,AGOCO2,2018.0,1.0356
REGION,AGOCO2,2019.0,1.04
REGION,AGOCO2,2020.0,1.0413
REGION,AGOCO2,2021.0,1.0286
REGION,AGOCO2,2022.0,2.3947
REGION,AGOCO2,2023.0,2.9868
REGION,AGOCO2,2024.0,1.3083
REGION,AGOCO2,2025.0,2.2626
REGION,AGOCO2,2026.0,3.3304
REGION,AGOCO2,2027.0,3.9468
REGION,AGOCO2,2028.0,4.6022
REGION,AGOCO2,2029.0,5.2129
REGION,AGOCO2,2030.0,5.8706
REGION,AGOCO2,2031.0,6.821
REGION,AGOCO2,2032.0,7.4833
REGION,AGOCO2,2033.0,8.0299
REGION,AGOCO2,2034.0,8.2312
REGION,AGOCO2,2035.0,8.6083
REGION,AGOCO2,2036.0,9.1865
REGION,AGOCO2,2037.0,10.0339
REGION,AGOCO2,2038.0,10.9058
REGION,AGOCO2,2039.0,11.8379
REGION,AGOCO2,2040.0,12.7989
REGION,BDICO2,2015.0,0.0054
REGION,BDICO2,2016.0,0.0054
REGION,BDICO2,2017.0,0.0058
REGION,BDICO2,2018.0,0.0059
REGION,BDICO2,2019.0,0.0059
REGION,BDICO2,2020.0,0.0059
REGION,BDICO2,2021.0,0.0057
REGION,BDICO2,2022.0,0.0057
REGION,BDICO2,2023.0,0.0054
REGION,BDICO2,2024.0,0.0244
REGION,BDICO2,2025.0,0.0242
REGION,BDICO2,2026.0,0.024
REGION,BDICO2,2027.0,0.0234
REGION,BDICO2,2028.0,0.0231
REGION,BDICO2,2029.0,0.023
REGION,BDICO2,2030.0,0.0229
REGION,BDICO2,2031.0,0.0228
REGION,BDICO2,2032.0,0.0226
REGION,BDICO2,2033.0,0.0225
REGION,BDICO2,2034.0,0.0223
REGION,BDICO2,2035.0,0.0222
REGION,BDICO2,2036.0,0.0221
REGION,BDICO2,2037.0,0.022
REGION,BDICO2,2038.0,0.0217
REGION,BDICO2,2039.0,0.0214
REGION,BDICO2,2040.0,0.0212
REGION,BENCO2,2015.0,0.2637
REGION,BENCO2,2016.0,0.2616
REGION,BENCO2,2017.0,0.2659
REGION,BENCO2,2018.0,0.2675
REGION,BENCO2,2019.0,0.7411
REGION,BENCO2,2020.0,0.1754
REGION,BENCO2,2021.0,0.7363
REGION,BENCO2,2022.0,0.9388
REGION,BENCO2,2023.0,0.9257
REGION,BENCO2,2024.0,0.9126
REGION,BENCO2,2025.0,0.8969
REGION,BENCO2,2026.0,0.9334
REGION,BENCO2,2027.0,0.869
REGION,BENCO2,2028.0,0.8555
REGION,BENCO2,2029.0,0.8424
REGION,BENCO2,2030.0,0.8293
REGION,BENCO2,2031.0,0.8163
REGION,BENCO2,2032.0,0.8032
REGION,BENCO2,2033.0,0.7901
REGION,BENCO2,2034.0,0.7771
REGION,BENCO2,2035.0,0.764
REGION,BENCO2,2036.0,0.4248
REGION,BENCO2,2037.0,0.3766
REGION,BENCO2,2038.0,0.384
REGION,BENCO2,2039.0,0.2267
REGION,BENCO2,2040.0,0.2526
REGION,BENREN,2015.0,0.0
REGION,BENREN,2016.0,0.0
REGION,BENREN,2017.0,0.0
REGION,BENREN,2018.0,0.0
REGION,BENREN,2019.0,0.0
REGION,BENREN,2020.0,0.0
REGION,BENREN,2021.0,-18.7401
REGION,BENREN,2022.0,-13.7871
REGION,BENREN,2023.0,-11.5271
REGION,BENREN,2024.0,-9.6455
REGION,BENREN,2025.0,-8.0708
REGION,BENREN,2026.0,-9.3698
REGION,BENREN,2027.0,-8.223
