r,t,y,AnnualVariableOperatingCost
REGION,AGOBACKSTOP,2040,0.0
REGION,AGOBIOCHC01N,2040,0.0
REGION,AGOBIOCHP01O,2040,0.0
REGION,AGOBIODIP00X,2015,0.002040448438947371
REGION,AGOBIODIP00X,2016,0.0020698252747368448
REGION,AGOBIODIP00X,2017,0.0021006995757894766
REGION,AGOBIODIP00X,2018,0.0021289520136842134
REGION,AGOBIODIP00X,2019,0.002180936567431687
REGION,AGOBIODIP00X,2020,0.0022211031492259505
REGION,AGOBIODIP00X,2021,0.002219370733643887
REGION,AGOBIODIP00X,2022,0.002254051567146045
REGION,AGOBIODIP00X,2023,0.0022896325798692453
REGION,AGOBIODIP00X,2024,0.0023261540625608766
REGION,AGOBIODIP00X,2025,0.0023636544295998663
REGION,AGOBIODIP00X,2026,0.0024044052555771507
REGION,AGOBIODIP00X,2027,0.002446188937080761
REGION,AGOBIODIP00X,2028,0.002489018165184361
REGION,AGOBIODIP00X,2029,0.002532898330182698
REGION,AGOBIODIP00X,2030,0.002577827146317877
REGION,AGOBIODIP00X,2031,0.0026242153542591403
REGION,AGOBIODIP00X,2032,0.0026716553861056667
REGION,AGOBIODIP00X,2033,0.0027201451266785086
REGION,AGOBIODIP00X,2034,0.0027696618548618776
REGION,AGOBIODIP00X,2035,0.0028201739794347196
REGION,AGOBIODIP00X,2036,0.0028708919199860457
REGION,AGOBIODIP00X,2037,0.002922563465084741
REGION,AGOBIODIP00X,2038,0.002975185134920277
REGION,AGOBIODIP00X,2039,0.003028760579882141
REGION,AGOBIODIP00X,2040,0.0030832978854124144
REGION,AGOBIOIMP00X,2040,0.0
REGION,AGOBIOPRP00X,2015,326.47175023157854
REGION,AGOBIOPRP00X,2016,331.17204395789435
REGION,AGOBIOPRP00X,2017,336.11193212631537
REGION,AGOBIOPRP00X,2018,340.6323221894733
REGION,AGOBIOPRP00X,2019,348.9498507890691
REGION,AGOBIOPRP00X,2020,355.3765038761512
REGION,AGOBIOPRP00X,2021,358.29213302974097
REGION,AGOBIOPRP00X,2022,363.8410663900863
REGION,AGOBIOPRP00X,2023,369.5340284257983
REGION,AGOBIOPRP00X,2024,375.37746565645926
REGION,AGOBIOPRP00X,2025,381.3775243826977
REGION,AGOBIOPRP00X,2026,387.8976565390631
REGION,AGOBIOPRP00X,2027,394.5830455796407
REGION,AGOBIOPRP00X,2028,401.43572207621673
REGION,AGOBIOPRP00X,2029,408.4565484759506
REGION,AGOBIOPRP00X,2030,415.64515905757935
REGION,AGOBIOPRP00X,2031,423.0672723281814
REGION,AGOBIOPRP00X,2032,430.65767742362567
REGION,AGOBIOPRP00X,2033,438.4160359152803
REGION,AGOBIOPRP00X,2034,446.3387124246193
REGION,AGOBIOPRP00X,2035,454.42065235627405
REGION,AGOBIOPRP00X,2036,462.53552284448625
REGION,AGOBIOPRP00X,2037,470.80297006027735
REGION,AGOBIOPRP00X,2038,479.22243723396315
REGION,AGOBIOPRP00X,2039,487.7945084278614
REGION,AGOBIOPRP00X,2040,496.5204773127051
REGION,AGOCO1DIP00X,2040,0.0
REGION,AGOCO1EXP00X,2015,-29247.162697598724
REGION,AGOCO1EXP00X,2016,-21479.53386801523
REGION,AGOCO1EXP00X,2017,-22925.840893746194
REGION,AGOCO1EXP00X,2018,-30274.146792313495
REGION,AGOCO1EXP00X,2019,-26785.941790581335
REGION,AGOCO1EXP00X,2020,-27352.840029535553
REGION,AGOCO1EXP00X,2021,-27919.738268489542
REGION,AGOCO1EXP00X,2022,-28486.63650744376
REGION,AGOCO1EXP00X,2023,-29053.53474639797
REGION,AGOCO1EXP00X,2024,-29620.432985351967
REGION,AGOCO1EXP00X,2025,-30187.33122430595
REGION,AGOCO1EXP00X,2026,-30612.50490352156
REGION,AGOCO1EXP00X,2027,-31037.678582737168
REGION,AGOCO1EXP00X,2028,-31462.85226195277
REGION,AGOCO1EXP00X,2029,-31888.025941168376
REGION,AGOCO1EXP00X,2030,-32313.19962038398
REGION,AGOCO1EXP00X,2040,0.0
REGION,AGOCO1IMP00X,2030,16342.276160219311
REGION,AGOCO1IMP00X,2031,2934.551698793858
REGION,AGOCO1IMP00X,2032,2963.5253553481057
REGION,AGOCO1IMP00X,2033,2991.627342162722
REGION,AGOCO1IMP00X,2034,3018.8474258059427
REGION,AGOCO1IMP00X,2035,3045.1815936145454
REGION,AGOCO1IMP00X,2036,3089.4216224476686
REGION,AGOCO1IMP00X,2037,3133.3332916204827
REGION,AGOCO1IMP00X,2038,3176.9012411522453
REGION,AGOCO1IMP00X,2039,3222.5809875811187
REGION,AGOCO1IMP00X,2040,3262.9234388990526
REGION,AGOCO1PRP00X,2015,30396.63894759873
REGION,AGOCO1PRP00X,2016,22361.114535515233
REGION,AGOCO1PRP00X,2017,23956.731223566196
REGION,AGOCO1PRP00X,2018,31522.475682469376
REGION,AGOCO1PRP00X,2019,27890.43749170234
REGION,AGOCO1PRP00X,2020,29035.607156496662
REGION,AGOCO1PRP00X,2021,29767.670838114107
REGION,AGOCO1PRP00X,2022,30489.02797274186
REGION,AGOCO1PRP00X,2023,31213.663919160343
REGION,AGOCO1PRP00X,2024,31942.42201322762
REGION,AGOCO1PRP00X,2025,32675.254871980913
REGION,AGOCO1PRP00X,2026,33154.76343972664
REGION,AGOCO1PRP00X,2027,33635.04235906306
REGION,AGOCO1PRP00X,2028,34115.09132390635
REGION,AGOCO1PRP00X,2029,34595.29643117103
REGION,AGOCO1PRP00X,2030,19547.530142266944
REGION,AGOCO1PRP00X,2040,0.0
REGION,AGOCO1R1P00X,2015,0.0014372154225
REGION,AGOCO1R1P00X,2016,0.0014372154225
REGION,AGOCO1R1P00X,2017,0.0014372154225
REGION,AGOCO1R1P00X,2018,0.0014372154225
REGION,AGOCO1R1P00X,2019,0.0014372154225
REGION,AGOCO1R1P00X,2020,0.0021443039896704473
REGION,AGOCO1R1P00X,2021,0.002306957198162678
REGION,AGOCO1R1P00X,2022,0.0024500365953052487
REGION,AGOCO1R1P00X,2023,0.0025914659344384323
REGION,AGOCO1R1P00X,2024,0.0027323323264137342
REGION,AGOCO1R1P00X,2025,0.002872612777125877
REGION,AGOCO1R1P00X,2026,0.002894580328329332
REGION,AGOCO1R1P00X,2027,0.0029168111252294033
REGION,AGOCO1R1P00X,2028,0.0029381863430798637
REGION,AGOCO1R1P00X,2029,0.0029591622254536098
REGION,AGOCO1R1P00X,2030,0.0029765561060147343
REGION,AGOCO1R1P00X,2031,0.002968062443523734
REGION,AGOCO1R1P00X,2032,0.002958939179559018
REGION,AGOCO1R1P00X,2033,0.002949187580225893
REGION,AGOCO1R1P00X,2034,0.0029388212459454006
REGION,AGOCO1R1P00X,2035,0.002927859086612275
REGION,AGOCO1R1P00X,2036,0.0029413443536897227
REGION,AGOCO1R1P00X,2037,0.0029542588115040115
REGION,AGOCO1R1P00X,2038,0.0029666045430025226
REGION,AGOCO1R1P00X,2039,0.002980668945242654
REGION,AGOCO1R1P00X,2040,0.0029895784321047865
REGION,AGOCO1R2P00X,2040,0.0
REGION,AGOCO1RCP00X,2015,104.19869678399999
REGION,AGOCO1RCP00X,2016,104.19869678399999
REGION,AGOCO1RCP00X,2017,104.19869678399999
REGION,AGOCO1RCP00X,2018,104.19869678399999
REGION,AGOCO1RCP00X,2019,104.19869678399999
REGION,AGOCO1RCP00X,2020,155.46290259238566
REGION,AGOCO1RCP00X,2021,167.25532569562944
REGION,AGOCO1RCP00X,2022,177.62863959519942
REGION,AGOCO1RCP00X,2023,187.88232362474164
REGION,AGOCO1RCP00X,2024,198.09519375868328
REGION,AGOCO1RCP00X,2025,208.2655829151338
REGION,AGOCO1RCP00X,2026,209.8582392219762
REGION,AGOCO1RCP00X,2027,211.46998094781142
REGION,AGOCO1RCP00X,2028,213.01969284807598
REGION,AGOCO1RCP00X,2029,214.5404527654981
REGION,AGOCO1RCP00X,2030,215.80151610931676
REGION,AGOCO1RCP00X,2031,215.18572215899576
REGION,AGOCO1RCP00X,2032,214.52428184833855
REGION,AGOCO1RCP00X,2033,213.81728697049076
REGION,AGOCO1RCP00X,2034,213.06572356145375
REGION,AGOCO1RCP00X,2035,212.27096259620942
REGION,AGOCO1RCP00X,2036,213.2486498887726
REGION,AGOCO1RCP00X,2037,214.18495327993725
REGION,AGOCO1RCP00X,2038,215.080023784227
REGION,AGOCO1RCP00X,2039,216.0996986092567
REGION,AGOCO1RCP00X,2040,216.74563999390563
REGION,AGOCOADIP00X,2040,0.0
REGION,AGOCOAIMP00X,2040,0.0
REGION,AGOCOAPRP00X,2040,0.0
REGION,AGOCOASCC01N,2040,0.0
REGION,AGOCOASCP01N,2040,0.0
REGION,AGOCOASCP01O,2040,0.0
REGION,AGOEL1TRP00X,2015,0.00033696359542071525
REGION,AGOEL1TRP00X,2016,0.0003647526128345218
REGION,AGOEL1TRP00X,2017,0.0003763374608397241
REGION,AGOEL1TRP00X,2018,0.00041089609236166227
REGION,AGOEL1TRP00X,2019,0.00045151029734576066
REGION,AGOEL1TRP00X,2020,0.0004851043226327207
REGION,AGOEL1TRP00X,2021,0.0005297961571078241
REGION,AGOEL1TRP00X,2022,0.0006180069340851556
REGION,AGOEL1TRP00X,2023,0.0007071851464410585
REGION,AGOEL1TRP00X,2024,0.0007971939348130943
REGION,AGOEL1TRP00X,2025,0.0008880775442003384
REGION,AGOEL1TRP00X,2026,0.0009816317317795488
REGION,AGOEL1TRP00X,2027,0.0010395929942389971
REGION,AGOEL1TRP00X,2028,0.001098688075068601
REGION,AGOEL1TRP00X,2029,0.0011588446365111457
REGION,AGOEL1TRP00X,2030,0.001192230024894492
REGION,AGOEL1TRP00X,2031,0.0012291763503367605
REGION,AGOEL1TRP00X,2032,0.0012675296957654987
REGION,AGOEL1TRP00X,2033,0.001307335237532545
REGION,AGOEL1TRP00X,2034,0.0013669916702046007
REGION,AGOEL1TRP00X,2035,0.0014361190114709126
REGION,AGOEL1TRP00X,2036,0.0015080790851344015
REGION,AGOEL1TRP00X,2037,0.0015822252384591108
REGION,AGOEL1TRP00X,2038,0.001658612510854097
REGION,AGOEL1TRP00X,2039,0.0017373062703663939
REGION,AGOEL1TRP00X,2040,0.0018183795459704461
REGION,AGOEL2DIP00X,2015,0.0003201154156496789
REGION,AGOEL2DIP00X,2016,0.00034651498219279506
REGION,AGOEL2DIP00X,2017,0.00035752058779773725
REGION,AGOEL2DIP00X,2018,0.00039035128774357836
REGION,AGOEL2DIP00X,2019,0.0004289347824784718
REGION,AGOEL2DIP00X,2020,0.0004608491065010837
REGION,AGOEL2DIP00X,2021,0.0004516422024930325
REGION,AGOEL2DIP00X,2022,0.00048399654915921083
REGION,AGOEL2DIP00X,2023,0.0005174868346173478
REGION,AGOEL2DIP00X,2024,0.0005519816739698743
REGION,AGOEL2DIP00X,2025,0.000587521742952339
REGION,AGOEL2DIP00X,2026,0.0006258116652384452
REGION,AGOEL2DIP00X,2027,0.0006650603436312562
REGION,AGOEL2DIP00X,2028,0.0007054521218515209
REGION,AGOEL2DIP00X,2029,0.0007469178670703614
REGION,AGOEL2DIP00X,2030,0.0007630161497625248
REGION,AGOEL2DIP00X,2031,0.0007799932182662258
REGION,AGOEL2DIP00X,2032,0.0007974166728977748
REGION,AGOEL2DIP00X,2033,0.0008152856159911977
REGION,AGOEL2DIP00X,2034,0.0008510328323189818
REGION,AGOEL2DIP00X,2035,0.0008947490971255165
REGION,AGOEL2DIP00X,2036,0.0009400775230685025
REGION,AGOEL2DIP00X,2037,0.00098635067426666
REGION,AGOEL2DIP00X,2038,0.0010335651033109821
REGION,AGOEL2DIP00X,2039,0.001081724426601113
REGION,AGOEL2DIP00X,2040,0.0011308366542932202
REGION,AGOEL3DIP00X,2022,0.00010311003822168594
REGION,AGOEL3DIP00X,2023,0.00015433905450165642
REGION,AGOEL3DIP00X,2024,0.00020535256410256399
REGION,AGOEL3DIP00X,2025,0.0002561519240379809
REGION,AGOEL3DIP00X,2026,0.0003067384799521244
REGION,AGOEL3DIP00X,2027,0.00032255300089578925
REGION,AGOEL3DIP00X,2028,0.000338301549463648
REGION,AGOEL3DIP00X,2029,0.0003539845376152249
REGION,AGOEL3DIP00X,2030,0.0003696023738872405
REGION,AGOEL3DIP00X,2031,0.00038772431455369417
REGION,AGOEL3DIP00X,2032,0.0004067365380794466
REGION,AGOEL3DIP00X,2033,0.00042668285966471735
REGION,AGOEL3DIP00X,2034,0.00044760925437538617
REGION,AGOEL3DIP00X,2035,0.0004695639637718476
REGION,AGOEL3DIP00X,2036,0.000492597607809176
REGION,AGOEL3DIP00X,2037,0.0005167633022694923
REGION,AGOEL3DIP00X,2038,0.0005421167820004069
REGION,AGOEL3DIP00X,2039,0.0005687165302469577
REGION,AGOEL3DIP00X,2040,0.0005966239143787003
REGION,AGOEL4DIP00X,2040,0.0
REGION,AGOELCODBP00,2020,0.00010381342493421321
REGION,AGOELCODBP00,2024,0.00014187392016514543
REGION,AGOGEOCVP01N,2040,0.0
REGION,AGOGEOCVP01O,2040,0.0
REGION,AGOHFODIP00X,2015,0.0001663292627368423
REGION,AGOHFODIP00X,2016,0.0001625837461894739
REGION,AGOHFODIP00X,2017,0.00013488030231578973
REGION,AGOHFODIP00X,2018,0.0001342180051368423
REGION,AGOHFODIP00X,2019,0.00014386604531119607
REGION,AGOHFODIP00X,2020,0.00013292070821420115
REGION,AGOHFODIP00X,2021,0.00014723821206103703
