r,e,y,AnnualEmissions
REGION,AGOCO2,2015.0,3.7305
REGION,AGOCO2,2016.0,3.8923
REGION,AGOCO2,2017.0,1.0342
REGION,AGOCO2,2018.0,1.0356
REGION,AGOCO2,2019.0,1.0401
REGION,AGOCO2,2020.0,1.0417
REGION,AGOCO2,2021.0,0.9946
REGION,AGOCO2,2022.0,1.4177
REGION,AGOCO2,2023.0,1.3733
REGION,AGOCO2,2024.0,0.8553
REGION,AGOCO2,2025.0,0.9513
REGION,AGOCO2,2026.0,1.0623
REGION,AGOCO2,2027.0,0.9408
REGION,AGOCO2,2028.0,1.4378
REGION,AGOCO2,2029.0,1.4224
REGION,AGOCO2,2030.0,1.1947
REGION,AGOCO2,2031.0,1.0501
REGION,AGOCO2,2032.0,0.8299
REGION,AGOCO2,2033.0,0.5835
REGION,AGOCO2,2034.0,0.4989
REGION,AGOCO2,2035.0,0.3088
REGION,AGOCO2,2036.0,0.2601
REGION,AGOCO2,2037.0,0.2114
REGION,AGOCO2,2038.0,0.1629
REGION,AGOCO2,2039.0,0.1144
REGION,AGOCO2,2040.0,0.066
REGION,BDICO2,2015.0,0.0054
REGION,BDICO2,2016.0,0.0054
REGION,BDICO2,2017.0,0.0058
REGION,BDICO2,2018.0,0.0059
REGION,BDICO2,2019.0,0.0059
REGION,BDICO2,2020.0,0.0059
REGION,BDICO2,2021.0,0.0057
REGION,BDICO2,2022.0,0.0056
REGION,BDICO2,2023.0,0.0054
REGION,BDICO2,2024.0,0.0184
REGION,BDICO2,2025.0,0.0181
REGION,BDICO2,2026.0,0.0178
REGION,BDICO2,2027.0,0.0232
REGION,BDICO2,2028.0,0.0227
REGION,BDICO2,2029.0,0.0225
REGION,BDICO2,2030.0,0.0222
REGION,BDICO2,2031.0,0.022
REGION,BDICO2,2032.0,0.0217
REGION,BDICO2,2033.0,0.0215
REGION,BDICO2,2034.0,0.0213
REGION,BDICO2,2035.0,0.0211
REGION,BDICO2,2036.0,0.0209
REGION,BDICO2,2037.0,0.0206
REGION,BDICO2,2038.0,0.0204
REGION,BDICO2,2039.0,0.0202
REGION,BDICO2,2040.0,0.0199
REGION,BENCO2,2015.0,0.2637
REGION,BENCO2,2016.0,0.2616
REGION,BENCO2,2017.0,0.2638
REGION,BENCO2,2018.0,0.256
REGION,BENCO2,2019.0,0.5671
REGION,BENCO2,2020.0,0.3292
REGION,BENCO2,2021.0,0.1663
REGION,BENCO2,2022.0,0.1578
REGION,BENCO2,2023.0,0.1522
REGION,BENCO2,2024.0,0.1438
REGION,BENCO2,2025.0,0.1327
REGION,BENCO2,2026.0,0.1248
REGION,BENCO2,2027.0,0.1155
REGION,BENCO2,2028.0,0.1056
REGION,BENCO2,2029.0,0.0972
REGION,BENCO2,2030.0,0.0888
REGION,BENCO2,2031.0,0.0804
REGION,BENCO2,2032.0,0.0721
REGION,BENCO2,2033.0,0.0637
REGION,BENCO2,2034.0,0.0553
REGION,BENCO2,2035.0,0.0469
REGION,BENCO2,2036.0,0.0385
REGION,BENCO2,2037.0,0.0301
REGION,BENCO2,2038.0,0.0217
REGION,BENCO2,2039.0,0.0133
REGION,BENCO2,2040.0,0.0049
REGION,BENREN,2015.0,0.0
REGION,BENREN,2016.0,0.0
REGION,BENREN,2017.0,0.0
REGION,BENREN,2018.0,0.0
REGION,BENREN,2019.0,0.0
REGION,BENREN,2020.0,0.0
REGION,BENREN,2021.0,-21.7711
REGION,BENREN,2022.0,-18.9861
REGION,BENREN,2023.0,-39.3535
REGION,BENREN,2024.0,-34.9241
REGION,BENREN,2025.0,-31.1801
REGION,BENREN,2026.0,-28.1235
