r,e,y,AnnualEmissions
REGION,AGOCO2,2015.0,3.7305
REGION,AGOCO2,2016.0,3.8923
REGION,AGOCO2,2017.0,1.0342
REGION,AGOCO2,2018.0,1.0355
REGION,AGOCO2,2019.0,1.04
REGION,AGOCO2,2020.0,1.0403
REGION,AGOCO2,2021.0,0.9946
REGION,AGOCO2,2022.0,0.9473
REGION,AGOCO2,2023.0,1.0027
REGION,AGOCO2,2024.0,0.8519
REGION,AGOCO2,2025.0,1.2077
REGION,AGOCO2,2026.0,1.8045
REGION,AGOCO2,2027.0,2.3104
REGION,AGOCO2,2028.0,2.4171
REGION,AGOCO2,2029.0,3.1922
REGION,AGOCO2,2030.0,3.8409
REGION,AGOCO2,2031.0,4.3838
REGION,AGOCO2,2032.0,4.1951
REGION,AGOCO2,2033.0,4.1434
REGION,AGOCO2,2034.0,4.3454
REGION,AGOCO2,2035.0,4.9148
REGION,AGOCO2,2036.0,5.3929
REGION,AGOCO2,2037.0,5.953
REGION,AGOCO2,2038.0,6.7633
REGION,AGOCO2,2039.0,7.5174
REGION,AGOCO2,2040.0,8.4119
REGION,BDICO2,2015.0,0.0054
REGION,BDICO2,2016.0,0.0054
REGION,BDICO2,2017.0,0.0058
REGION,BDICO2,2018.0,0.0059
REGION,BDICO2,2019.0,0.0059
REGION,BDICO2,2020.0,0.0059
REGION,BDICO2,2021.0,0.0057
REGION,BDICO2,2022.0,0.0056
REGION,BDICO2,2023.0,0.0054
REGION,BDICO2,2024.0,0.0051
REGION,BDICO2,2025.0,0.0049
REGION,BDICO2,2026.0,0.0222
REGION,BDICO2,2027.0,0.0232
REGION,BDICO2,2028.0,0.0228
REGION,BDICO2,2029.0,0.0225
REGION,BDICO2,2030.0,0.0222
REGION,BDICO2,2031.0,0.022
REGION,BDICO2,2032.0,0.0217
REGION,BDICO2,2033.0,0.0214
REGION,BDICO2,2034.0,0.0212
REGION,BDICO2,2035.0,0.0209
REGION,BDICO2,2036.0,0.0207
REGION,BDICO2,2037.0,0.0204
REGION,BDICO2,2038.0,0.0201
REGION,BDICO2,2039.0,0.0199
REGION,BDICO2,2040.0,0.0196
REGION,BENCO2,2015.0,0.2637
REGION,BENCO2,2016.0,0.2616
REGION,BENCO2,2017.0,0.2658
REGION,BENCO2,2018.0,0.2675
REGION,BENCO2,2019.0,0.7446
REGION,BENCO2,2020.0,0.1754
REGION,BENCO2,2021.0,0.7362
REGION,BENCO2,2022.0,0.7231
REGION,BENCO2,2023.0,0.71
REGION,BENCO2,2024.0,0.6969
REGION,BENCO2,2025.0,0.6811
REGION,BENCO2,2026.0,0.668
REGION,BENCO2,2027.0,0.6529
REGION,BENCO2,2028.0,0.6393
REGION,BENCO2,2029.0,0.6263
REGION,BENCO2,2030.0,0.6132
REGION,BENCO2,2031.0,0.6001
REGION,BENCO2,2032.0,0.5871
REGION,BENCO2,2033.0,0.574
REGION,BENCO2,2034.0,0.5609
REGION,BENCO2,2035.0,0.5478
REGION,BENCO2,2036.0,0.5348
REGION,BENCO2,2037.0,0.1278
REGION,BENCO2,2038.0,0.0827
REGION,BENCO2,2039.0,0.0299
REGION,BENCO2,2040.0,0.0021
REGION,BENREN,2015.0,0.0
REGION,BENREN,2016.0,0.0
REGION,BENREN,2017.0,0.0
REGION,BENREN,2018.0,0.0
REGION,BENREN,2019.0,0.0
REGION,BENREN,2020.0,0.0
REGION,BENREN,2021.0,-18.7407
REGION,BENREN,2022.0,-15.9806
REGION,BENREN,2023.0,-13.7206
REGION,BENREN,2024.0,-11.839
REGION,BENREN,2025.0,-10.2643
REGION,BENREN,2026.0,-8.908
REGION,BENREN,2027.0,-7.7486
